subjID	group	trial	choice	rt	gain	loss
2	B	205	3	0.5177	0	0
2	B	206	3	0.462	0	0
2	B	207	1	0.4613	0	0
2	B	208	1	0.5022	0	0
2	B	209	2	0.3681	0	-1
2	B	210	3	0.3337	0	-1
2	B	211	1	0.3328	0	0
2	B	212	1	0.4494	0	0
2	B	213	1	0.3352	0	0
2	B	214	1	0.4395	0	0
2	B	215	1	0.5393	0	0
2	B	216	1	0.5687	0	0
2	B	217	2	0.8017	0	0
2	B	218	2	0.6371	0	0
2	B	219	3	0.4009	0	0
2	B	220	3	0.4189	0	-1
2	B	221	2	0.3841	1	-1
2	B	222	2	0.5521	0	0
2	B	223	1	0.3844	1	0
2	B	224	1	0.4049	0	0
2	B	225	1	0.4507	0	0
2	B	226	1	0.5659	0	0
2	B	227	1	0.3971	0	0
2	B	228	2	0.3342	0	0
2	B	229	2	0.3663	0	0
2	B	230	2	0.5531	0	-1
2	B	231	3	1.1181	0	0
2	B	232	3	0.3993	0	-1
2	B	233	1	0.4027	0	0
2	B	234	1	0.3663	0	0
2	B	235	1	0.3845	0	0
2	B	236	1	0.5335	0	0
2	B	237	2	0.9016	0	-1
2	B	238	1	0.4231	0	0
2	B	239	1	0.401	0	-1
2	B	240	3	0.3847	0	-1
